date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,NZD,SEK,KRW,SGD,NOK,MXN,INR,RUB,ZAR,TRY,BRL,TWD,DKK,PLN,THB,IDR,HUF,CZK,ILS,CLP,PHP,AED,COP,SAR,MYR,RON
10/11/2017,0.848782647,112.4355224,0.758483491,1.284311805,1.251150652,0.974617257,6.582549568,7.805143754,1.414701933,8.071660205,1135.835407,1.355708446,7.946742518,18.81594575,65.25594014,58.00356919,13.6989125,3.708019114,3.179606673,30.36462542,6.301594746,3.641629718,33.34746456,13496.30175,263.2160288,21.90088299,3.495881646,629.4999425,51.53213165,3.673478073,2960.199155,3.750462635,4.221590578,3.883621391
10/12/2017,0.844987328,112.526102,0.756815464,1.281560945,1.245062762,0.973199897,6.596015148,7.806370312,1.409722728,8.044329719,1133.027272,1.353449986,7.914935053,18.6960595,65.20027798,57.81957335,13.52838915,3.645190627,3.171426672,30.26063811,6.275319099,3.603975401,33.27158477,13495.58314,260.6417896,21.81432559,3.489543488,626.5261851,51.44848086,3.673116923,2955.680066,3.750154216,4.219310644,3.866175281
10/13/2017,0.847532763,112.322674,0.755365705,1.277623671,1.247684018,0.975042886,6.595488802,7.80875809,1.403473921,8.12648917,1133.779597,1.351903545,7.905697774,18.88400166,65.06511464,57.62386529,13.47886444,3.658118153,3.170799691,30.23715279,6.293453476,3.613975784,33.20395975,13518.09759,260.989828,21.87409055,3.496349751,624.3550887,51.54840844,3.673290942,2943.073161,3.751143547,4.220179668,3.881769312
10/14/2017,0.848308863,111.9193425,0.754019028,1.267791666,1.246732516,0.974696396,6.586446553,7.808086497,1.393605633,8.112095938,1127.760821,1.34930884,7.889028086,18.91417982,64.68385253,57.18029677,13.26863509,3.634395538,3.146320118,30.18319078,6.299094802,3.597849895,33.16704633,13516.12185,260.6736339,21.83432896,3.501069564,623.0129897,51.27035605,3.67489,2932.504227,3.750310785,4.225404854,3.878406448
10/15/2017,0.848271377,111.9061752,0.754110733,1.266867981,1.246115231,0.974453715,6.586231619,7.807988746,1.394064163,8.123078221,1128.557098,1.349263388,7.887474094,18.92189899,64.71209034,57.24067378,13.28414557,3.63376,3.146307977,30.1594475,6.303160214,3.600065461,33.16754604,13498.57672,260.9366054,21.82636882,3.502681109,623.0211393,51.27455308,3.674254597,2932.572511,3.75189528,4.225168943,3.878505023
10/16/2017,0.848816043,111.9673164,0.753917288,1.268237342,1.247930726,0.974642419,6.591174876,7.807587453,1.394067764,8.121464317,1127.845855,1.349982355,7.890381379,18.92842226,64.69068676,57.26816631,13.27841532,3.638722785,3.14603,30.18914691,6.302900922,3.605203645,33.1644553,13498.57002,260.9194075,21.84868071,3.499267325,623.2271793,51.2411017,3.674076893,2935.215459,3.751237102,4.220054467,3.883804359
10/17/2017,0.850272261,112.2778132,0.755991522,1.274863243,1.252553779,0.975423063,6.597551117,7.809278149,1.392542669,8.106232586,1128.731626,1.352624464,7.900023224,19.04563675,64.70491207,57.28002415,13.33174949,3.64672707,3.171954709,30.18287497,6.313600713,3.595204004,33.17725044,13490.048,261.030824,21.86387991,3.494924255,619.1530784,51.32929109,3.673023569,2937.793422,3.750685591,4.218122226,3.888816259
10/18/2017,0.852019091,112.2997087,0.75947806,1.273844586,1.2498984,0.977941931,6.630515421,7.809300406,1.394159485,8.156437342,1131.679729,1.354860196,7.936704248,18.79520481,64.98284541,57.31448193,13.39547999,3.666298676,3.158567845,30.2241121,6.326209915,3.604504498,33.18576982,13503.75294,261.8729,21.87978935,3.511903922,621.6278858,51.44042707,3.673274953,2951.615406,3.75092763,4.221522945,3.897065904
10/19/2017,0.850232868,113.0977663,0.758394404,1.275076716,1.246613029,0.981146205,6.635774782,7.809077237,1.398371818,8.140034008,1132.953517,1.356748117,7.955085577,18.88417831,65.05465811,57.41312549,13.56908457,3.675112913,3.171756147,30.22979506,6.313118835,3.595800645,33.24025915,13517.73127,261.3179815,21.81171547,3.496289016,625.1591028,51.47465017,3.67308849,2925.798461,3.750439636,4.224824996,3.891516232
10/20/2017,0.846257175,112.7728246,0.762005058,1.269785763,1.248162123,0.976353763,6.622908805,7.801437735,1.423324105,8.129620085,1129.275865,1.356952294,7.928741585,18.81380083,64.94181493,57.31074049,13.51969075,3.653435012,3.166976221,30.25800403,6.284124492,3.57828032,33.21614137,13501.95508,259.6971589,21.71340218,3.488940138,624.9137529,51.62752843,3.673561149,2920.087131,3.750584472,4.227410957,3.88417819
